userName,at,content
Anesa Wulandari,2024-10-27 14:44:33,Susah buat ganti akun smurf ke akun utama sering ada tulisan akun ngak ada kalo ngak ya yg muncul cuma putih doangg signl lancar² aja tolonglah perbaiki untuk sistem keluar masuk akunnya
Mohamad Aditya,2024-10-27 14:44:07,kasih tim yang GG lah moonton
Naran Samitha,2024-10-27 14:43:46,"Game nya ga jelas ketemu orang yang ga bisa main,bukannya terhibur malah dibikin stres"
Ahmat Marsel,2024-10-27 14:43:13,Sangat bagus permainya
Anggariskidaniswara189,2024-10-27 14:41:43,"Kasih musuh yang seimbang lah aku kalah kalah trus tapi mvp gimana ni montoon, pas main clasic musuh nya enak banget,pas main rank ketemu tim yang gak bisa main asal pick musuh pinter banget mau nya gimana si stack di epic mulu karep mu pie !!!!!!!!!!!!!!!!!!"
Arga Safera,2024-10-27 14:40:55,"Game ampas mending HOK, dapet tim nggak seimbang Mulu jadi males main ml"
Dikaemail,2024-10-27 14:40:11,Sistem matchmaking aneh
Angga Eka,2024-10-27 14:39:36,Berat
Fiska Jaya,2024-10-27 14:39:33,Geme 👍👍👍👍
Tegar Augusta prabowo,2024-10-27 14:39:18,Susah kali naik mitik ya🗿🗿🗿
Sutra Ayana,2024-10-27 14:38:45,Game nya gak adil tim musuh jago tim kita bot tim musuh rank nya mitic sedangkan gw epic kebawah gw udah legen bangst monton mat aja Lo besok moonton yatim lol Mendingan main HOK lebih seru dari pada game lol monton nya bau tanah lagi
YASON ARGANATA,2024-10-27 14:38:18,moonton semoga mengurangi bug. juga dark system. untuk solo rank kalau bisa diatur gak meet pro player
Yanto Langi,2024-10-27 14:38:12,Mantap
Feri Nugraha,2024-10-27 14:38:11,"Kamis ,23 November 2023 info terkini setelah update maen rank sering lag naik turun jaringannya, apalagi pas ketemu lawan jaringan tiba2 lag suka kesel, ternyata ga ada yang lebih baik dari game COC masalah jaringan COC selalu terdepan pas dulu maen COC.. TOLONG PERBAIKI JARINGANNYA MONTOON JANGAN FOKUS SAMA MENENGAH KE ATAS TERUS KASIH JARINGAN TERBAIK LAH KE SEMUA PENGGUNA.."
Nurman Ridwan,2024-10-27 14:38:08,dikasihh team drak syestem semua kalo belum siap mental Jangan main game ini
Dark Jhon,2024-10-27 14:37:16,"Makin kesini makin parah dark sistem terus isinya, moonton ga bisa cek akun juga, makasih buat moonton akhirnya syaa stress main game ini saya tutup akun moonton"
Bayu Pratama,2024-10-27 14:36:39,TOLONG PERBAIKI MATCH MAKINGNYA
PUTRA EDY SUSILO,2024-10-27 14:35:53,Dpt team tidak seimbang dengan musuh. Sudah kayak sistem judi moonton sekarang di kasih menang kemudian kalah terus bahkan susah sekarang maen solo rank dapat team tidak jelas
Febika Ayu,2024-10-27 14:33:59,gemmm begooo
Raka Part II,2024-10-27 14:33:48,"Moonton tolong dibaca keluhan semua player tuh, terutama player solo. aku tau yg namanya game ada kalahnya, cuman kalo kalah berkali-kali sampe 6x kalah itu tidak wajar. apa arti dari MVP kalo kalah, percuma. jadi tolong masalah pembagian tim di sesuaikan lagi. minimal kasih 1bintang kemenangan perhari bagi tiap player. misalkan player dlm 1hari memainkan rank 5x, kasih player trsbut 3xmenang, 2x kalah. jdi ga sia sia plyer itu bermain ml/hari, krna ada hasil walau 1bintang"
Risky candra Hasibuan,2024-10-27 14:33:48,Setiap main g pernah menang
Siti Masitoh,2024-10-27 14:32:54,Terimakasih
Dewi Risty20,2024-10-27 14:32:52,"Bagus,,tapi kenapa moonton slalu kasih musuh yg berat²😭"
Fahri Fahri,2024-10-27 14:32:49,Game bagus
Tatiana Ojak,2024-10-27 14:32:20,Bagus si tapi kasi aku manang lah montoon
Junan botak,2024-10-27 14:32:06,Game nya sangat bagus dan sangat hadi tapi tapi game offline nya kura bagus segera di perbaiki
Supri P,2024-10-27 14:31:47,Woy kasih tim yg sama kuat ngen** g satu GB** yg satu por.yaminimal yg sama kuat ngen**
Enung Sri haryanti,2024-10-27 14:31:33,"Game nya bagus banget menghibur tapi semenjak season 34 ini banyak kali yg troll, kadang baru mulai dah ngajak surendd sampe naik turun bintang gw 😔"
Rio Prasetyo,2024-10-27 14:31:25,Gem setres
New Zone,2024-10-27 14:31:18,Nonton goblooookkkkkk
Lex Superior,2024-10-27 14:30:44,GAME SAMPAH MATCHING LU NGOTAK DIKIT SISTEM ANCUR JAUH SAMA GAME SEBELAH CEPET MUSNAH NI GAME
Obed Pasaribu,2024-10-27 14:30:39,Ini gamenya sangat menguji kesabaran jadi buat yang gk kuat mending jangan dimainkan
Curek Tai,2024-10-27 14:29:50,Bagus bagus ajh sih tapi yg g seru bandel balmon lambat
aimar mahardika,2024-10-27 14:29:45,game nya bagus cuma tolong tim nya jangan drak sistem semua
syamsiah spd,2024-10-27 14:29:21,Gamenya sangat mudah asik dan sangat bagus
Royal Drem,2024-10-27 14:29:02,Bintang satu menyalah boss ku..... Itu hadiah yg pantas di dark simtem trussss...
Satria Arunaaji,2024-10-27 14:28:47,mengapa Kok aku login gabisa suka ngulang² terus
Agung Pradita,2024-10-27 14:28:46,"Kalo mau ngasih nilai yang bener njing,tengok cara main nya bukan kda,gw main roam kek gitu montage bener, jagain buf di rusuh Ampe mati brp kali itu,rela mati demi tim buat nyelamatin,malah di kasi nilai gitu,udh lah gw hps ni game gk jelas"
